title,link,date,views,shares,question,answer,month_name,month,year,day,date_new,parsing_date,days_passed,hijri_month
қонаққа барғанда қойған асының адаларамын сұрау шарт па,https://islam.kz/kk/questions/arturli/qonaqqa-barganda-qoigan-asynyn-adal-aramyn-surau-shart-pa-1598/,10 наурыз 2021 ж. 17:07,10058,10,ассаләмуғалейкум біреудің үйіне барғанда қойған асының адаларамын сұрау шарт па мысалы намаз оқымайды бірақ мұсылман туыстардың үйіне барғанда ет асады сол кезде күмәнмен жеймін кейде таныс достардың үйіне барғанда ет адал ма деп сұраймын бірақ сұрауға қысыласың бәрібір сұрамайын десең бисмилләмен сойылған малдың еті ме жоқ па деген күмән да тұрады көкейде не істемек керек рахмет али,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ құрметті сауал жолдаушытуғантуыстардың немесе жоражолдастардың яки көршіқолаңдардың үйіне барғанда алдыңызға ет қойып жатса күмәнданбастан бисмиллә деп жей бересіз бастысы жеп отырған етіңіз – етін жеуге болатын адал мал түрінің еті болуы шарт ал ол бисмиллә айтылып сойылған малдың еті ме жоқ па ол жағын сұрастыруға міндеттелмегенбіз оның үстіне әр қонаққа барғанда үй егесінен еттің адал не арамын сұрап жату да артықтау болады бастысы мұсылман пайғамбарымыз айтқандай мұсылман үшін мұсылман есімі жеткілікті оның үстіне жалпылама қазақ халқы – төрт түлік малдың етін жейтін мұсылман халық оның мұсылман екендігіне қарап асының да адал екендігіне үкім беріледі сөзіміз дәлелді болуы үшін мынабір риуаяттыкелтірелік имам мұхаммед ұстазы әбу ханифадан табиғин дін ғалымы ибраһим әннәхәъидің былай дегенін жеткізеді бір мұсылман адамның үйіне кірсең оның тағамын же сусынын іш еш нәрсе сұрама яғни асының адаларамын сұрама осы риуаятты келтіргеннен кейін имам мұхаммед сөзін жалғапбіз еш нәрседен күмәнданба дегенді аламыз әрі бұл әбу ханифаның рахимаһулла сөзі деп қорытындылайды осыған мазмұндас тағы бір риуаятты келтіргеннен кейін деимам мұхаммед ра осыны ұстанамыз оның еш ағаттығы жоқ әрине егер ол астың нақты жаман екенін арам екенін білмейтін болса нақты біліп тұрса жемейді бұл әбу ханифаның сөзі дейді сондайақ деректерге қарағандасахаба абдулла ибн мәсғудқарадияллаһу анһ бір адам келіп менің өсім жейтін көршім бар ол қоймай мені қонаққа шақыра береді не істесем болады– деп сұрайды өсімнен түскен ақшаға алынған азықтүліктің арамадалдығына күмәнданып сонда сахаба абдулла ибн мәсғуд ра оғаноны құттықтау – сенің міндетің яғни шақыруына жауап беру сенің міндетің ал күнәсі өзіне деп жауап береді осы риуаятты жеткізген суфян әссауриегер дәл сол харам ақшаға алынған асты танып тұрсаң оған тиме деп қосымша өз пікірін де білдіріп өтеді қорыта айтқанда құдай тамақтарда немесе туғантуыстардың үйіне барғанда яки әдеттегідей көршіқолаң досжарандар қонаққа шақырып алдыңызға ас қойылғанда ондағы еттің бисмиллә айтылып сойылған малдың еті ме жоқ па екендігін сұрап жатудың қажеті жоқ күмәнданбай бисмиллә айтып жей бергеніңіз жөн ең дұрысы аллаға мәлім абдусамат қасым исламтанушы,March,3,2021,10,2021-03-10,2025-06-24,1567,Rajab
дүкеннен береке кетпесін деп дуалға қан жағады немесе балаға қан жағады осындай салт қаншалықты дұрыс,https://islam.kz/kk/questions/aqida-senim/dukennen-bereke-ketpesin-dep-dualga-qan-jagady-nemese-balaga-qan-jagady-osyndai-salt-qanshalyqty-durys-1597/,9 наурыз 2021 ж. 18:00,4830,3,ассәләмуғалейкум қандау мәселесін толық айтып кетсеңізүйімнең магазинімнен береке кетпесін деп дуалға қан жағады екіншісі – дертіне шипа болсын деп адамға немесе балаға қан жағады қандай жағдайда қандау дұрыс немесе бұрыс нұрлан,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ қанды ырымдап дуалға немесе балаға жағу үрдісі мұсылманшылықта орын алмаған қазақ халқында да қанға шомылу қан жағу сияқты қалыптасқан үрдіс жоқ мұндай үрдістерді көбіне шаманизмнен қалған жарық шақтары десек болатын шығар бақсытәуіптерде қан жағу үрдісі кездесуі мүмкін ал исламда қан – лас және ауыр нәжіс саналған аққан қанның нәжіс екендігі құран кәрімде ашық білдіріледі әнғам сүресі  аят мысалы шариғатта киімге алақанның ойығындай көлемде қан жағылса ол киім нәжіс саналып онымен намаз оқуға болмайды тиген қанды жуып тастау керек немесе басқа киім киіп оқу керек ендеше қабырғаға қан жағу немесе балаға үлкенге қан жағу қанға шомылу қан ішу – бұлардың бәрі мұсылманға жат істеуге болмайтын харам істер бірақ қазақ салтында қырман қандау немесе ту қандау деген салттар болған қырман қандау дегені құрбан шалып қан ағызу дегені бұл көбіне құдайы деп аталады ту қандау болса шешуші шайқас кезінде ақ боз атты сойып ақ туды қанға бояған екен ондағы мақсаты қасық қанымыз қалғанша соғысамыз деп серттесудің бір түрі болса керек мұндай салттардың діни тұрғыда ағаттығы болмас бірақ сіз айтқандай жасау – дінге де ақылға да сыйымсыз соқыр сенімділіктен туған бос ырымнан басқа ештеңе емес үкімі – харам ең дұрысы аллаға мәлім,March,3,2021,9,2021-03-09,2025-06-24,1568,Rajab
мешітте намаз оқығанда саптағылардың арасы ашық тұрады бұның үкімі қандай намаз дұрыс па,https://islam.kz/kk/questions/qulshylyq/namaz/meshitte-namaz-oqyganda-saptagylardyn-arasy-ashyq-turady-bunyn-ukimi-qandai-namaz-durys-pa-1596/,5 наурыз 2021 ж. 17:01,5920,0,ассаламуғалейкум ұстаз намазда арақашықтықты сақтап оқу қандай фәтуаға негізделген медет,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ намазда саптың түзу әрі тығыз болғаны жөн үкімі – сүннет егер саптағылардың арасы ашық болса мәкруһ болады дегенмен намазда иық тіресіп тұру намаз шарттарынан саналмағандықтан саптағылардың арасы ашық болған жағдайда намаз бұзылмайды намаз дұрыс ал енді қазіргі жағдайға байланыстымешіттерде арақашықтықты сақтай отырып намаз оқу мәселесі қандай фәтуаға негізделеді– дегенге келер болсақ фиқһ ғылымында мынадай жалпылама ереже бар اذا تعارضت مفسدتان روعي اعظمهما ضررا بارتكاب اخفهما егер екі зиянды нәрсе бірбіріне кереғар келіп қалса зияны жеңілдеуін орындау арқылы зияны ауырлауын болдырмау керек біздің жағдайда екі зиянды нәрсенің бірі жұманы тәрк ету екіншісі сапты толтырмай арасын ашық қалдырып оқу жұманы оқымау – харам ал саптағылардың арасын ашық қалдыру – мәкруһ харам мен мәкруһты таңдау мәселесінде жеңілдеу болған мәкруһ амалы таңдалып харамды болдырмау жағына мән беріледі осылайша мәкруһ болса да арақашықтықты сақтай отырып жұманы жамағатпен оқу керек болады мұны бес уақыт намазды жамағатпен оқу мәселесіне де байланысты айтсақ болады мешітте жамағатпен оқуды тәрк ету ауыр ма әлде саптың арасын ашық қалдыру ауыр ма әрине мешітте жамағатпен намаз оқуды тәрк ету ауырлау сондықтан да мешіт қаңырап бос тұрғаннан гөрі арақашықтықты сақтай отырып болса да мешітте жамағат намазы оқылып тұрғаны дұрыс сондайақ дінімізде жамандықты бейтарап ету жақсылықты жақындатудан бұрын келеді деген қағида тағы бар оның арабшасы درء المفاسد أَولى من جلب المصالح яғни сапта иық тіресіп тұру сауап бірақ қазіргі жағдайда жақын тұру індеттің таралуын тудыруы мүмкін сондықтан да жоғарыдағы қағидаға сәйкес ең әуелі індетті жұқтырмау жағына мән беріліп індеттің таралуын болдырмас үшін уақытша арақашықтықты сақтап тұру жағы таңдалады,March,3,2021,5,2021-03-05,2025-06-24,1572,Rajab
атаананың разылығын алу керек делінеді атаана арақ құй десе де бағынуымыз керек пе,https://islam.kz/kk/questions/januya/otbasy/ata-ananyn-razylygyn-alu-kerek-delinedi-ata-ana-araq-qui-dese-de-bagynuymyz-kerek-pe-1595/,5 наурыз 2021 ж. 11:10,7853,0,ассаләмуғалейкум атаананың разылығы маңызды дейді егер атаана арақ құй не болмаса сол секілді күнәлі істер істеуге бұйырса оны істеп разылығын алу керекпіз бе,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ қасиетті құран кәрімде алла тағала былай деп бұйырады وَإِن جَاهَدَاكَ عَلَىٰ أَن تُشْرِكَ بِي مَا لَيْسَ لَكَ بِهِ عِلْمٌ فَلَا تُطِعْهُمَا ۖ وَصَاحِبْهُمَا فِي الدُّنْيَا مَعْرُوفًا ۖ وَاتَّبِعْ سَبِيلَ مَنْ أَنَابَ إِلَيَّ ۚ ثُمَّ إِلَيَّ مَرْجِعُكُمْ فَأُنَبِّئُكُم بِمَا كُنتُمْ تَعْمَلُونَ егер атаанаң білмейтін нәрсеңді маған серік қосуға зорласа оларға бағынбадегенмен олармен бұл дүниеде жақсы қарымқатынаста бол және де маған бет бұрғандардың жолына түс кейін қайтар жерлерің мен жақ сол кезде сендерге істеген нәрселеріңнен хабардар етемін аяттан да ұққанымыздай атаанасы харам іске және дінге қайшы іс істеуге бұйырып тұрса баласы бағынбауы керек екен сондықтан да егер атаана арақ құй арақ әкел деген сияқты харам істерге итермелеп жатса ол айтқанын орындаудан баласы бас тартуына құқылы онысы үшін күнә жазылмайды алайда атаанаң жынды болса байлап бақ деп атам қазақ айтқандай атаанасы қанша күнәһар болса да оларға жақсы қарап оларға деген сыйқұрметті жоғалтпау керек оны аяттың жалғасынан ұғынамыз олар үшін әр намазда дұға жасап алладан игіліктерін тілеген дұрыс,March,3,2021,5,2021-03-05,2025-06-24,1572,Rajab
әртүрлі тақырыпқа қатысты үш сұрақ,https://islam.kz/kk/questions/arturli/arturli-taqyrypqa-qatysty-ush-suraq-1594/,4 наурыз 2021 ж. 17:33,5349,4,,зинадан туылған бала тозаққа кіреді дейді кей молдалар сол дұрыс па некесіз туған бала тозаққа кіреді деген қағида жоқ тозаққа кірукірмеуі алдағы өмірінде істеген амалына байланысты егер өмірден иманды харамнан ұзақ жүретін мұсылман болып өтсе алла қаласа пейішке кіреді оған некесіз туылған болуы кедергі емес құранда ешбір күнәһар басқа біреудің күнәсін көтермейдіделінгенфатыр сүресі  аят дүниеден өткен адамның есімін қайталап қоюға бола ма бақилық болған туысының есімін жаңа туған балаға қоюдың зияны жоқ мысалы көп адам бұрын дүние салған атақты кісілердің есімдерін ырымдап балаларына қойып жатады сол сияқты қайтыс болған туысының да есімін жаңа туған балаға қойса одан балаға келіпкетер зиян болмайды әйтсе де басқа есім қоямын десе де өз еркі әйел кісілер түнде жатарда немесе ауыз ашқаннан кейін свеча салып кейін сәресіге тұрып ауыз бекіте берсе бола ма болады свечаны күндіз ауыз бекітулі кезде салса оразаны бұзу қауіпі бар ал өзіңіз айтпақшы түнде жатарда салса немесе ауыз ашқаннан кейін салса тіпті сәресі уақытында ауыз бекітпей тұрып салса оразасына тигізер зияны жоқ,March,3,2021,4,2021-03-04,2025-06-24,1573,Rajab
бір рәкәғатта бірнеше қысқа сүре оқудың зияны бар ма,https://islam.kz/kk/questions/qulshylyq/namaz/bir-rakagatta-birneshe-qysqa-sure-oqudyn-ziyany-bar-ma-1593/,3 наурыз 2021 ж. 17:37,7549,0,әссаләмуалейкум намазда бір рәкәғатта бірнеше қысқа сүрелерді бірден оқуға бола ма сосын құран сүрелерін құран кітабынан емес телефоннан қарап қайталап оқу үшін дәрет алу кажет па қайсар,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ намаздың бір рәкәғатында екіүш сүрені қатарынан оқудың зияны жоқ пайғамбарымыз сау кейде намаздың бір рәкәғатында көлемі жағынан бірбіріне жақын екі сүрені қосып оқитын кездері болған мысалы бір рәкәғатта рахман сүресі мен нәжім сүресін қосып оқыса тағы бір рәкәғатта қамар сүресі мен хаққа сүресін қосып оқитын сондайақ тур сүресі мен зәриятты уақиға мен қаламды маъариж бен назиғатты мутаффифин мен абасаны муддасир мен музаммилді инсан мен қияметті нәбә мен мүрсалатты дұхан мен тәкуирді қосып оқитын кездері болған екен бұл сүрелер көлемі жағынан бірбіріне жақын болғандықтан назаир деп аталған екінші саулыңызға орай айтарымыз құранды ұялы телефоннан немесе компьютерден тб электронды құралдар арқылы оқитын кезде дәретті болу шарт емес дәретсіз де оқи беруге болады бірақ ғұсылы болған болуы ләзім,March,3,2021,3,2021-03-03,2025-06-24,1574,Rajab
мәйітті жуындырмай тұрып соңғы рет көру әдеті бар оған не дейсіз,https://islam.kz/kk/questions/qulshylyq/namaz/maiitti-juyndyrmai-turyp-songy-ret-koru-adeti-bar-ogan-ne-deisiz-1591/,2 наурыз 2021 ж. 15:52,23152,3,әссаламуғалейкум кейбір өңірлерде адам қайтыс болғанда жуындырудан алдын туғантуыс досжараңдары мәйітті соңғы рет көріп шығады осы шариғатымызда бар нәрсе ме мұхит,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ мәйітжуылып кебінделгенненсоң жақын туыстары мен досжарандарының кіріп жүзін ашып оны соңғы рет көріп шығулары күнә емес риуаяттарға қарағанда ардақты пайғамбарымыз саллаллаһу алейһи уә сәлләм бақилыққа аттанғанда әзіреті әбу бәкір оның мақтадан жасалған матамен жабулы денесіне жақындап келіп жүзін ашады да еңкейіп екі көзінің ортасынан сүйеді әйел кісі қайтыс болғанда оны соңғы рет көруге тек ер адамдарданмахрамсаналатын туыстары мен әйел кісілердің көрулеріне болады ал махрам саналмайтын яғни жақын туыстығы жоқ ер адамдардың көрулері мәкруһ болып есептелінеді,March,3,2021,2,2021-03-02,2025-06-24,1575,Rajab
үлкендерге арналған сұрақ ,https://islam.kz/kk/questions/januya/otbasy/ulkenderge-arnalgan-suraq-18-1590/,26 ақпан 2021 ж. 11:46,9561,4,ассаләмуғалейкум әйел еркектің үстінде отырып жыныстық қатынасқа түсуі арам ба әлде адал ма толығырақ түсіндіріп жіберсеңіздер рахмет,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ ұлы сөздің ұяттығы жоқ дінде ерлізайыптылар төсек қатынасына әртүрлі қалыпта поза түсе алады белгілі бір шектеу жоқ бастысы алдыңғы мүшеден қатынас жасалған болуы тиіс және қалып поза залалды болмаса болғаны құран кәрімде алла тағала былай деген نِسَاؤُكُمْ حَرْثٌ لَّكُمْ فَأْتُوا حَرْثَكُمْ أَنَّىٰ شِئْتُمْ сендердің әйелдерің – сендердің егістерің егістеріңе қалаған жақтарыңнан келіңдер келтірілген аяттағыегіссөзінде – жалпы түрде әйелі ал жалқы түрде әйелдің қынабы астарланып тұр ер адам өзінің әйелінің қынабына ұрығын салып кейін баласы дүниеге келіп жататындықтан ол жерге егіс сөзі қолданылған бұл – бір екіншіден – егіс сөзінен әйелдің тек алдыңғы мүшесінен қатынасқа түсу шарт екендігін де ұғынуға болады исламда аналды жолдан қатынасқа түсу үзілді кесілді харам іс үшіншіден – аяттақалаған жақтарыңнан келіңдердеп отыр бұл сөзден кезкелген қалыпта төсек қатынасына түсе беруге болатындығын ұғынуға болады деректерге қарағанда әзіреті омар бір күні алла елшісіне сау келіп уа расулалла құрыдым – дейді сені құртқан не нәрсе – деп сұрайды пайғамбарымыз сау түнде ертұрманымды теріс қаратып қойдым деп айтады яғни әйелінің алдыңғы мүшесіне артқы жағынан жақындасқан сол сәтте пайғамбарымыз сау еш нәрсе айтпайды кейіннен алла елшісінесендердің әйелдерің – сендердің егістерің егістеріңе қалаған жақтарыңнан келіңдердеген аят түсті дейді хадисті риуаят етуші сахаба абдулла ибн аббас ра әзіреті омардың ондай қалыпта әйеліне жақындасудың күнә екендігін ойлауының себебі жергілікті яһуди дініндегі кісілер әйеліне артқы жағынан келуді ағат санап одан көзі қыли бала туылады деп сенетін алайда аят түсіп ондай нанымның негізсіз екенін әйеліне қандай қалыпта болса да жақындасуға болатындығын бастысы қатынас алдыңғы мүшеден жасалған болуы керектігін білдірген болды тоқ етерін айтқанда ерлізайыптылардың сауалда сұралған қалыпта жақындасуларының діни тұрғыда еш күнәсі жоқ әрі медицина тұрғысынан да залалды екендігі дәлелденбеген үкімі – мубах,February,2,2021,26,2021-02-26,2025-06-24,1579,Rajab
имамға ші рәкәғатқа үлгерген кісі өзі өтегенде бірінші рәкәғаттан кейін тәшәһһуд отырысына отырады екен оған қандай дәлел бар,https://islam.kz/kk/questions/qulshylyq/namaz/imamga-4-shi-rakagatqa-ulgergen-kisi-ozi-otegende-birinshi-rakagattan-keiin-tashahhud-otyrysyna-otyrady-eken-ogan-qandai-dalel-b-1589/,24 ақпан 2021 ж. 18:24,4502,0,ассәләмуғалейкум ханафи мәзхабы бойынша имаммен оқыған ші рәкәт ол сенде де ші рәкәт болып есептеледі емес па маған имаммен  ракатты оқып тәшәхуд айтып сосын имам сәлем берген соң тұрып  рәкәтты оқисың деді сосын сен тағы отырыс жасап тәшәхуд айтып  рәкәт иманммен өтелді  рәкәтты оқыдым сосын тағы отырыс жасадым  және  рәкәтты оқиды екенмін сосын барып намазды аяқтаймын мендегі сұрақ егер бағанағы имаммен оқыған ші рәкәтты бірінші болып емес  рәкәт болып есептелетін болса неге ші рәкәтты имаммен оқып тәшәхул айтқаннан соң бір рәкәт оқып тағы да бір рет отырыс жасауым керек хадистерден қандай дәлелдер бар нұржан,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ намазда имамға кешігіп келіп қосылған кісіні шариғатта мәсбуқ деп атайды мәсбұқ үкіміндегі мұсылман – келген жерінен имамға ілесіп намаз соңында имам екі жаққа сәлем бергеннен соң ол сәлем бермей тұрып жіберіп алған рәкәғаттарын өзінше өтейді мәсбуқтың кейіннен өтейтіндері қырағат ету тұрғысынан алғанда намаздың басы саналады сондықтан да біріншісін сәнә дұғасымен бастайды әғузубисмиллә айтады әрі алғашқы рәкәғаттарында фатиха мен қосымша сүре оқиды ал тәшәһһуд дұғасына отыру тұрғысынан қарағанда олар соңғы рәкәғаты ретінде есептеледі тарқатып айтар болсақ төрт рәкәғатты парыз намаздың төртінші рәкәғатынатолықтайүлгерген кісі алдынғы үш рәкәғатты жіберіп алды деген сөз ол имаммен бірге әдеттегідей орындап имамның сәлем беруін күтеді имам екі жаққа сәлем бергеннен кейін ол аллаһу әкбар деп тұрып жіберіп алған үш рәкәғатты өтеуге кіріседі бірінші рәкәғатында сәнә оқиды әғузубисмилламен бастайды фатиха және қосымша сүре оқиды одан соң рүкуғ жасап сәждеге барады сәждеден кейін тәшәһһуд отырысына отырады аттахияту дұғасын оқығаннан кейін аллаһу әкбар деп екіншіге тұрады екіншісінде фатиха және қосымша сүре оқиды одан соң рүкуғ пен сәждені орындайды артынан тәшәһһудке отырмастан үшіншіге тұрады үшіншісінде тек фатиханы оқып рүкуғ сәжде жасап әттахиятуға отырады тәшәһһуд салауат оқып аяқтайды осы мысалдағы үлгермей жіберіп алған үш рәкәғатты өздігінен өтейтін кезде біріншісінде тәшәһһудқа отыруы тиіс дедік бұған мына риуаят дәлел болады әбу ханифаның ұстазы хаммадтан ал хаммад болса табиғин ғұлама ибраһим әннәхәъиден жеткізген риуаятта табиғинмәсруқ және жүндүбекеуіақшамнамазына кешігіп келіп имамға соңғыүшінші рәкәғатындақосылады мәсруқ пен жүндүб имаммен бірге үлгерген соңғы рәкәғатты оқиды да имам сәлем бергеннен кейін жіберіп алған екі рәкәғатты өтеуге тұрады сол сәтте мәсрұқ екі рәкәғаттың алғашқы рәкәғатында тәшәһһуд отырысына отырады одан соң қалған бір рәкәғатты оқып аяқтайды ал жүндүб болса екі рәкәғаттың біріншісінде тәшәһһудке отырмай екіншіге тұрып екіншісінде бірақ тәшәһһудке отырады кейін намаздарын аяқтап болғаннан соң екеуі дұрысбұрысын анықтау үшін сахаба абдулла ибн мәсъудке барады екеуі мәнжайды түсіндіріп береді сонда сахаба абдулла ибн мәсъуд радияллаһу анһ оларға екеуің де сөзсіз көркем орындадыңдар десе де мен мәсрұқ оқығандай оқыр едімимам ахмед әләсәр дей келе ақшамның үшінші рәкәғатына үлгерген мұсылманның кейіннен өзі тәмәмдайтын екі рәкәғаттың біріншісінде тәшәһһуд отырысына отыруы керек екендігін білдірген осы риуаятты келтірген имам ағзам әбу ханифабіз ибн мәсъуттың сөзін аламыздеген екен сіз сұрап отырған мәселе де осыған ұқсас демек төртінші рәкәғатқа үлгерген кісі кейін жіберіп алған рәкәғаттарын өздігінен өтейтін кезде бірінші рәкәғатында тәшәһһудқа отырады сондайақ бұл үкім – сахаба абдулла ибн мәсъуттың пәтуасына сүйенеді уәлхамду лилләһи раббиль аләмин,February,2,2021,24,2021-02-24,2025-06-24,1581,Rajab
сатып алынған затқа бір жыл кепілдік гарантия беріп жатады оның діни тұрғыда ағаттығы бар ма,https://islam.kz/kk/questions/sauda-sattyq/satyp-alyngan-zatqa-bir-jyl-kepildik-garantiya-berip-jatady-onyn-dini-turgyda-agattygy-bar-ma-1588/,22 ақпан 2021 ж. 15:19,4280,3,ассаламуғалейкум менің сұрағым келесідегідей исламда кепілдік беру дұрыс па гарантия мысалы телефон сатып алғанда  жыл гарантия береді соны пайдалануға бола ма сәкен,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ сауда орталықтарында сатылар затқа белгілі мерзімге дейін кепілдік беру құқы қарастырылған осы кепілдікке сай сатқан затының ақаулы екендігі анықталса сауда орны ол тауарды басқасына ауыстырып беру міндетін өз мойнына алады мұндай кепілдіктің діни тұрғыда ағаттығы жоқ ондай кепілдікті пайдалануға болады бірақ мысалы телефон сатып алар кезде өндірістік ақаулық үшін берілер кепілдікпен қатар белгілі ақыға қосымша сақтандыруды да ұсынып жатады немесе өндірістік ақаулықтарға жатпайтын ақаулықтар туындай қалған жағдайда телефон жөндеу сервисіне тегін жүгіну мүмкіндігін беретін ақылы келісімге отыру ұсынысы да бар бұлар – ұзақ ықтималдылыққа сүйенетіндіктен бұларды пайдалану діни тұрғыда құпталмайды деуге болады өйткені мәселен сатып алған телефоныңыздың ұрланары не ұрланбасы белгісіз не болмаса телефоныңыз бұзылып қаларына да нақтылық жоқ бұзып алған күннің өзінде жөндеу жұмысы сіз алдын ала берген сомаға тұрарлық іс па жоқ па ол да беймәлім нәрсе осы жөнінен қарағанда бұл шара діндегі ғарар түсінігі аясына кіреді ғарарды пайғамбарымыз сау тыйған сондықтан да тауарға берілер кепілдікті пайдалануға болады ал оған қосымша ұсынылар ақылы сақтандыру мен ақылы кепілдікті пайдалануға болмайды ең дұрысы – аллаға мәлім,February,2,2021,22,2021-02-22,2025-06-24,1583,Rajab
үйдегі әжетхана құбылаға қарап тұр күнәсі бар ма,https://islam.kz/kk/questions/arturli/uidegi-ajethana-qubylaga-qarap-tur-kunasi-bar-ma-1587/,18 ақпан 2021 ж. 12:26,16118,429,ассаләмуғалейкум көп үйде әжетхана құбыла жаққа қарап тұрады құбылаға аяқ созуға болмайды делінген әжетке отыру қалай болады осыны айтып жіберсеңіздер,уағалейкумуссәләм уә рахматуллаһи уә бәракәтуһ ханафи мәзхабында үйде болсын түзде болсын құбылаға қарап отырып немесе құбылаға артын беріп отырып әжетін өтеу – харамға жақын мәкруһ өйткені пайғамбарымыз сау бір хадисіндетүзге шыққандарыңда құбылаға қарап та оған арттарыңды беріп те отырмаңдар оның орнына шығысқа қарап немесе батысқа қарап отырыңдар деп ашық бұйырған медине қаласының құбыласы – оңтүстік жақта орналасқандықтан хадисте шығысқа немесе батысқа қарап отырыңдар делініп тұр дегенмен пайғамбарымыздың аталмыш тыйымындалалы жерге қатыстыдеп түсінген сахабалар мен табиғин ғалымдар болған олардың пайымынша далалы жерде құбылаға қарап әжетін өтеу мәкруһ ал ғимарат ішінде немесе жабық бір әжетханада құбылаға қарап әжетін өтеудің ағаттығы жоқ дейді олар бұлай деушілердің арасында имам шәфиғи де бар бұл ғалымдардың сүйенген дәлелдері келесідегідей сахаба абдулла ибн омар ра айтадыбір күні хафсаның үйінің төбесіне бір зат үшін шыққанымда пайғамбарымызды сау шам тарапына сирияға қарап ал құбылаға теріс қарап отырған күйі әжетін өтегенін көрдім дейді сахаба тағы бір риуаятта табиғин уәсиъ ибн хәббәнның айтысына қарағанда сахаба абдулла ибн омар былай деген кейбір адамдар әжетке отырғанда құбылаға қарама және құдыс мешіті жаққа қарама деп айтып жүр шынында мен бір күні біздің үйдің төбесіне шыққанымда әпкесі хафса анамыздың тамының төбесіне шыққанда пайғамбарымыздың сау құдыс мешіті жаққа беттеп екі ләбинәға отырып әжетін өтегенін көрдім дей келе үй ішіндегі әжетханалардың құбыла жаққа қарап тұруының ағаттығы жоқ екендігін білдірген ләбинә деген – батпақтан құйылған тік бұрышты немесе төрт бұрышты кірпіш тәріздес материал бұрындары үй ішінде аяқ басып отыру үшін әжетханада қолданылатын болған жабық жердегі әжетханаларда құбылаға қарап отырудың ағаттығы жоқ деуші табиғиндердің бірі имам шаъби ол әбу һурайрадан жеткен әжет өтегенде құбылаға қарап немесе құбылаға теріс қарап отырмаңдар деген риуаятқа байланыстыәбу һурайраның айтқаны даладағы жағдайға қатысты ал сендердің әжетхана ретінде пайдаланып жүрген бөлмелерің болса оның құбыласы жоқдеп айтқан екінші топ ғалымдардың келтірген риуаяттарына ханафи ғалымдарының берер жауаптары жоқ емес аталмыш риуаяттардың ханафи ғалымдары тарапынан назарға алынбауының өзіндік маңызды фиқһи себептері бар қорыта айтқанда үйін енді салып жатқан мұсылмандар әжетхананы құбылаға қаратпай оған бір қырымен қарап отыратындай етіп орнатқандары абзал ал астаушасы құбылаға қарата орнатылып қойған үйдегілерге үзір бар иншаалла әсіресе пәтерді жалдап тұрып жатқан мұсылмандар ондағы дәрет сындырғыш астаушаны унитаз бұзып қайта орнатуға мүмкіндіктері бола бермейді сондықтан да бұл мәселеде сахаба абдулла ибн омардан жеткен риуаят тығырықтан шығуға жәрдемші болмақ алла тағала пендесіне жеңілдік қалайды ауырлық қаламайды аят ең дұрысы – аллаға мәлім,February,2,2021,18,2021-02-18,2025-06-24,1587,Rajab
